time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2021-09-05 18:08:59:6240,0.1026,-0.1648,0.8154,0.838
2021-09-05 18:08:59:6350,-0.0724,0.1333,0.4657,0.49
2021-09-05 18:08:59:6440,-0.1219,0.326,-0.0336,0.35
2021-09-05 18:08:59:6560,-0.0945,0.5561,-0.583,0.811
2021-09-05 18:08:59:6640,0.119,0.719,-0.6493,0.976
2021-09-05 18:08:59:6780,0.072,0.7788,-0.3731,0.867
2021-09-05 18:08:59:6840,0.3521,0.5679,-1.1456,1.326
2021-09-05 18:08:59:6959,-0.4764,0.8426,-0.6348,1.158
2021-09-05 18:08:59:7030,-0.3435,0.5067,-0.4153,0.74
2021-09-05 18:08:59:7170,-0.4311,0.0513,-0.179,0.47
2021-09-05 18:08:59:7240,-0.1962,-0.0252,-0.1015,0.222
2021-09-05 18:08:59:7350,-0.057,0.0452,0.0523,0.09
2021-09-05 18:08:59:7440,-0.2019,0.0076,0.4308,0.476
2021-09-05 18:08:59:7550,-0.3589,0.1192,0.5151,0.639
2021-09-05 18:08:59:7630,-0.1096,0.2254,0.7917,0.83
2021-09-05 18:08:59:7770,-0.2146,0.1455,0.5897,0.644
2021-09-05 18:08:59:7830,-0.3852,0.0996,-0.152,0.426
2021-09-05 18:08:59:7950,-0.5578,0.053,0.0126,0.56
2021-09-05 18:08:59:8040,-0.6254,0.2031,0.1681,0.679
2021-09-05 18:08:59:8159,-0.317,0.3836,0.9,1.028
2021-09-05 18:08:59:8240,-0.2439,0.5448,1.25,1.385
2021-09-05 18:08:59:8370,-0.3691,0.0369,1.2364,1.291
2021-09-05 18:08:59:8460,-0.5895,-0.6092,0.6798,1.087
2021-09-05 18:08:59:8540,-1.3281,-0.7733,0.1032,1.54
2021-09-05 18:08:59:8640,-1.1614,-0.4459,0.151,1.253
2021-09-05 18:08:59:8770,-1.2148,-0.2519,-0.2843,1.273
2021-09-05 18:08:59:8830,-1.28,-0.0307,-0.4398,1.354
2021-09-05 18:08:59:8960,-1.4317,0.1733,-0.4482,1.51
2021-09-05 18:08:59:9040,-1.4038,0.2629,-0.3893,1.48
2021-09-05 18:08:59:9160,-0.7004,0.3635,0.5052,0.937
2021-09-05 18:08:59:9240,-0.433,0.7593,1.345,1.604
2021-09-05 18:08:59:9370,-0.2694,0.8465,2.1608,2.336
2021-09-05 18:08:59:9440,-0.3175,0.367,2.3162,2.366
2021-09-05 18:08:59:9560,-0.2997,-0.3325,2.4581,2.499
2021-09-05 18:08:59:9640,-0.3254,-0.7401,2.7029,2.821
2021-09-05 18:08:59:9760,-0.1579,-1.05,3.0514,3.231
2021-09-05 18:08:59:9830,-0.0613,-1.0424,2.9593,3.138
2021-09-05 18:08:59:9960,0.1492,-0.8009,1.8989,2.066
2021-09-05 18:09:00:0040,-0.3282,-0.3989,1.2324,1.336
2021-09-05 18:09:00:0150,-0.1747,0.029,0.927,0.944
2021-09-05 18:09:00:0230,0.4502,0.089,0.8122,0.933
2021-09-05 18:09:00:0370,0.6106,-0.1494,0.3289,0.709
2021-09-05 18:09:00:0440,0.2473,-0.1514,0.187,0.345
2021-09-05 18:09:00:0560,0.3733,-0.2214,0.1583,0.462
2021-09-05 18:09:00:0640,0.7756,-0.6463,0.1722,1.024
2021-09-05 18:09:00:0770,1.2105,-1.4539,-0.2877,1.914
2021-09-05 18:09:00:0830,0.5086,-1.4997,-0.2747,1.607
2021-09-05 18:09:00:0950,-0.3148,-0.8807,-2.1827,2.375
2021-09-05 18:09:00:1040,-0.6262,-0.7939,-3.0617,3.224
2021-09-05 18:09:00:1160,-0.4946,-0.2473,-4.3026,4.338
2021-09-05 18:09:00:1230,-0.4198,-0.0649,-4.8383,4.857
2021-09-05 18:09:00:1380,0.1076,0.278,-5.4322,5.44
2021-09-05 18:09:00:1440,0.0637,0.2964,-5.5509,5.559
2021-09-05 18:09:00:1570,0.2235,0.2232,-4.9434,4.953
2021-09-05 18:09:00:1640,0.65,0.1628,-4.093,4.147
2021-09-05 18:09:00:1760,0.9953,-0.1204,-3.3174,3.466
2021-09-05 18:09:00:1840,0.8965,-0.4376,-2.9423,3.107
2021-09-05 18:09:00:1960,0.5025,-0.5279,-3.3208,3.4
2021-09-05 18:09:00:2050,0.2365,-0.8192,-3.8347,3.928
2021-09-05 18:09:00:2150,-0.3059,-0.8688,-4.5079,4.601
2021-09-05 18:09:00:2240,-0.3474,-0.8054,-4.316,4.404
2021-09-05 18:09:00:2360,-0.2279,-0.6756,-3.1516,3.231
2021-09-05 18:09:00:2440,0.0237,-0.5552,-2.3714,2.436
2021-09-05 18:09:00:2560,0.3349,-0.6506,-1.3055,1.497
2021-09-05 18:09:00:2640,0.4396,-0.9815,-0.3376,1.127
2021-09-05 18:09:00:2760,0.432,-1.1112,0.3738,1.249
2021-09-05 18:09:00:2839,0.3478,-1.1427,0.9879,1.55
2021-09-05 18:09:00:2960,0.2245,-1.0501,1.7089,2.018
2021-09-05 18:09:00:3050,0.2179,-0.8694,2.1774,2.355
2021-09-05 18:09:00:3150,0.3059,-0.6379,2.6852,2.777
2021-09-05 18:09:00:3230,0.3195,-0.3839,2.9968,3.038
2021-09-05 18:09:00:3350,0.3299,-0.1828,3.3356,3.357
2021-09-05 18:09:00:3459,0.2376,-0.064,3.4008,3.41
2021-09-05 18:09:00:3580,0.0848,-0.0359,3.4157,3.417
2021-09-05 18:09:00:3630,0.2237,-0.2942,3.1094,3.131
2021-09-05 18:09:00:3740,0.2536,0.0214,3.7659,3.775
2021-09-05 18:09:00:3840,0.0381,-0.2087,3.7441,3.75
2021-09-05 18:09:00:3960,0.2334,-0.1697,3.4043,3.417
2021-09-05 18:09:00:4030,-0.0452,-0.339,2.9463,2.966
2021-09-05 18:09:00:4160,-0.2033,-0.4956,2.4027,2.462
2021-09-05 18:09:00:4230,-0.1636,-0.2448,2.2227,2.242
2021-09-05 18:09:00:4350,-0.1108,0.1334,1.9655,1.973
2021-09-05 18:09:00:4430,-0.1053,0.1518,1.962,1.971
2021-09-05 18:09:00:4560,-0.2002,0.2977,1.3583,1.405
2021-09-05 18:09:00:4630,-0.2212,0.2961,1.153,1.211
