time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2021-09-05 18:09:31:5430,0.1323,-0.7276,-0.1955,0.765
2021-09-05 18:09:31:5540,0.0049,-0.7411,0.1491,0.756
2021-09-05 18:09:31:5629,-0.0413,-0.7762,0.2977,0.832
2021-09-05 18:09:31:5750,-0.0644,-0.8088,0.4624,0.934
2021-09-05 18:09:31:5830,-0.0683,-0.7324,0.5248,0.904
2021-09-05 18:09:31:5970,-0.1055,-0.7489,0.2534,0.798
2021-09-05 18:09:31:6140,-0.1179,-0.7484,0.0606,0.76
2021-09-05 18:09:31:6140,-0.2235,-0.7625,-0.1881,0.816
2021-09-05 18:09:31:6230,-0.2771,-0.7626,-0.4431,0.924
2021-09-05 18:09:31:6350,-0.3802,-0.8511,-0.7023,1.167
2021-09-05 18:09:31:6430,-0.3861,-0.9248,-0.956,1.385
2021-09-05 18:09:31:6560,-0.2907,-0.9982,-1.1658,1.562
2021-09-05 18:09:31:6640,-0.1681,-1.0459,-1.2244,1.619
2021-09-05 18:09:31:6750,0.0464,-1.1262,-1.2662,1.695
2021-09-05 18:09:31:6830,0.2247,-1.1382,-1.3583,1.786
2021-09-05 18:09:31:6959,0.4627,-1.0944,-1.4122,1.846
2021-09-05 18:09:31:7160,0.6999,-1.0177,-1.2531,1.76
2021-09-05 18:09:31:7170,0.957,-1.0461,-1.1062,1.798
2021-09-05 18:09:31:7230,0.9996,-1.1442,-1.0217,1.831
2021-09-05 18:09:31:7340,0.9719,-1.2598,-0.866,1.812
2021-09-05 18:09:31:7430,0.9284,-1.358,-0.7352,1.802
2021-09-05 18:09:31:7560,0.9517,-1.3505,-0.6005,1.758
2021-09-05 18:09:31:7630,1.0301,-1.3339,-0.5455,1.771
2021-09-05 18:09:31:7750,1.1245,-1.1508,-0.5195,1.691
2021-09-05 18:09:31:7820,1.0687,-1.0001,-0.4459,1.53
2021-09-05 18:09:31:7960,1.022,-0.9893,-0.3176,1.457
2021-09-05 18:09:31:8159,0.8521,-1.0814,-0.1987,1.391
2021-09-05 18:09:31:8169,0.6467,-0.9673,-0.0743,1.166
2021-09-05 18:09:31:8230,0.6096,-0.8527,-0.0635,1.05
2021-09-05 18:09:31:8350,0.6041,-0.6734,-0.1106,0.911
2021-09-05 18:09:31:8430,0.5761,-0.5227,-0.127,0.788
2021-09-05 18:09:31:8550,0.4937,-0.4873,0.0284,0.694
2021-09-05 18:09:31:8630,0.2606,-0.437,0.1414,0.528
2021-09-05 18:09:31:8740,-0.2601,-0.4284,0.2791,0.574
2021-09-05 18:09:31:8840,-0.662,-0.5525,0.3766,0.941
2021-09-05 18:09:31:8960,-1.0294,-0.7377,0.6464,1.422
2021-09-05 18:09:31:9150,-1.1046,-0.7499,0.9042,1.612
2021-09-05 18:09:31:9160,-0.984,-0.7896,1.3765,1.867
2021-09-05 18:09:31:9220,-0.9486,-0.6029,1.7053,2.042
2021-09-05 18:09:31:9350,-1.0658,-0.3933,1.8311,2.155
2021-09-05 18:09:31:9430,-1.2199,-0.2498,1.6236,2.046
2021-09-05 18:09:31:9560,-1.3631,-0.0326,1.019,1.702
2021-09-05 18:09:31:9630,-1.4678,0.3086,0.8198,1.709
2021-09-05 18:09:31:9740,-1.3211,0.8114,0.8769,1.781
2021-09-05 18:09:31:9830,-1.1752,1.0084,1.1864,1.951
2021-09-05 18:09:31:9940,-1.0554,1.0485,1.8007,2.336
2021-09-05 18:09:32:0130,-1.0174,0.9572,2.2063,2.611
2021-09-05 18:09:32:0150,-0.8329,0.844,2.5666,2.827
2021-09-05 18:09:32:0220,-0.7674,0.8656,2.6943,2.932
2021-09-05 18:09:32:0340,-0.5921,0.8878,2.677,2.882
2021-09-05 18:09:32:0429,-0.6441,0.9773,2.4201,2.688
2021-09-05 18:09:32:0540,-0.7717,1.2374,1.72,2.255
2021-09-05 18:09:32:0630,-0.8756,1.3729,1.3725,2.13
2021-09-05 18:09:32:0750,-0.9738,1.5674,0.5633,1.929
2021-09-05 18:09:32:0830,-1.1606,1.7245,0.2573,2.095
2021-09-05 18:09:32:0930,-1.4096,1.8129,-0.1388,2.301
2021-09-05 18:09:32:1030,-1.7118,1.8682,-0.4909,2.581
2021-09-05 18:09:32:1220,-2.0296,1.9082,-0.7472,2.884
2021-09-05 18:09:32:1240,-2.2537,1.9953,-0.8561,3.129
2021-09-05 18:09:32:1340,-2.5054,2.0832,-0.9579,3.396
2021-09-05 18:09:32:1429,-2.6685,2.1324,-0.9786,3.553
2021-09-05 18:09:32:1540,-2.841,2.1826,-0.8711,3.687
2021-09-05 18:09:32:1630,-2.8473,2.2255,-0.6076,3.665
2021-09-05 18:09:32:1739,-2.7895,2.3169,-0.2658,3.636
2021-09-05 18:09:32:1830,-2.8058,2.3696,-0.0061,3.673
2021-09-05 18:09:32:1950,-2.7991,2.4199,0.3343,3.715
2021-09-05 18:09:32:2030,-2.7031,2.4551,0.485,3.684
2021-09-05 18:09:32:2220,-2.6014,2.4627,0.6544,3.642
2021-09-05 18:09:32:2230,-2.4721,2.5289,0.83,3.633
2021-09-05 18:09:32:2340,-2.1748,2.5343,1.2805,3.577
2021-09-05 18:09:32:2420,-1.9541,2.5983,1.7959,3.714
2021-09-05 18:09:32:2540,-1.7352,2.4982,2.4294,3.893
2021-09-05 18:09:32:2630,-1.5497,2.4423,2.8246,4.043
2021-09-05 18:09:32:2740,-1.3784,2.3331,3.0178,4.056
2021-09-05 18:09:32:2829,-1.23,2.2284,3.0714,3.989
2021-09-05 18:09:32:2950,-1.0419,2.0806,3.0207,3.813
2021-09-05 18:09:32:3140,-0.8854,1.9817,2.8501,3.583
2021-09-05 18:09:32:3150,-0.7653,1.7575,2.5159,3.163
2021-09-05 18:09:32:3220,-0.7197,1.5971,2.2736,2.87
2021-09-05 18:09:32:3340,-0.6971,1.3556,1.8245,2.377
2021-09-05 18:09:32:3430,-0.6273,1.1514,1.4663,1.967
2021-09-05 18:09:32:3540,-0.4336,0.9398,1.0616,1.483
2021-09-05 18:09:32:3630,-0.2649,0.7789,0.8267,1.166
2021-09-05 18:09:32:3740,-0.0711,0.5626,0.5493,0.789
2021-09-05 18:09:32:3830,0.0401,0.3709,0.3661,0.523
2021-09-05 18:09:32:3950,0.022,0.1885,-0.1297,0.23
2021-09-05 18:09:32:4069,0.1524,-0.0471,-0.4807,0.506
2021-09-05 18:09:32:4210,0.2493,-0.3042,-1.0582,1.129
2021-09-05 18:09:32:4240,0.3772,-0.3787,-1.2237,1.335
2021-09-05 18:09:32:4350,0.508,-0.5788,-1.4525,1.644
2021-09-05 18:09:32:4430,0.5662,-0.7724,-1.4147,1.708
2021-09-05 18:09:32:4530,0.5593,-1.0298,-1.2403,1.706
2021-09-05 18:09:32:4630,0.5852,-1.4243,-0.9344,1.801
2021-09-05 18:09:32:4760,0.6076,-1.8543,-0.4587,2.004
2021-09-05 18:09:32:4850,0.6276,-2.2067,-0.1521,2.299
2021-09-05 18:09:32:4940,0.6068,-2.5774,0.0678,2.649
2021-09-05 18:09:32:5110,0.5419,-2.7516,0.0606,2.805
2021-09-05 18:09:32:5140,0.4265,-2.9639,-0.1234,2.997
2021-09-05 18:09:32:5230,0.2756,-2.9771,-0.351,3.01
2021-09-05 18:09:32:5340,0.3254,-2.974,-0.4712,3.029
2021-09-05 18:09:32:5430,0.3049,-2.8787,-0.5222,2.941
2021-09-05 18:09:32:5550,0.593,-2.7855,-0.2964,2.863
2021-09-05 18:09:32:5629,0.7748,-2.7519,0.0409,2.859
2021-09-05 18:09:32:5750,1.0587,-2.7545,0.7055,3.034
2021-09-05 18:09:32:5830,1.3055,-2.7628,1.2194,3.29
2021-09-05 18:09:32:5940,1.5217,-2.7364,1.5261,3.483
2021-09-05 18:09:32:6120,1.3989,-2.8328,1.5038,3.499
2021-09-05 18:09:32:6140,1.2513,-2.8217,1.3312,3.362
2021-09-05 18:09:32:6220,1.1002,-2.7369,1.0047,3.116
2021-09-05 18:09:32:6340,0.9465,-2.5155,0.3777,2.714
2021-09-05 18:09:32:6420,0.802,-2.399,-0.2115,2.538
2021-09-05 18:09:32:6550,0.6409,-2.3545,-0.9875,2.632
2021-09-05 18:09:32:6620,0.6106,-2.3262,-1.4382,2.802
2021-09-05 18:09:32:6750,0.5353,-2.1792,-2.0279,3.025
2021-09-05 18:09:32:6830,0.4875,-2.1302,-2.3298,3.194
2021-09-05 18:09:32:6949,0.362,-2.092,-2.5802,3.341
2021-09-05 18:09:32:7020,0.2551,-2.1352,-2.6453,3.409
2021-09-05 18:09:32:7170,0.0878,-2.21,-2.5929,3.408
2021-09-05 18:09:32:7240,0.0015,-2.2132,-2.4325,3.289
2021-09-05 18:09:32:7350,0.0321,-2.2498,-2.1664,3.123
2021-09-05 18:09:32:7430,0.0457,-2.1693,-1.9142,2.893
2021-09-05 18:09:32:7550,0.1266,-2.0787,-1.6178,2.637
2021-09-05 18:09:32:7630,0.2279,-1.9526,-1.3702,2.396
2021-09-05 18:09:32:7740,0.306,-1.786,-1.0685,2.104
2021-09-05 18:09:32:7830,0.3568,-1.6763,-0.8303,1.904
2021-09-05 18:09:32:7970,0.5237,-1.4629,-0.4216,1.61
2021-09-05 18:09:32:8030,0.6287,-1.3383,-0.2524,1.5
2021-09-05 18:09:32:8129,0.5518,-1.452,-0.1568,1.561
2021-09-05 18:09:32:8230,0.5384,-1.5149,0.0126,1.608
2021-09-05 18:09:32:8350,0.6884,-1.4376,0.3357,1.629
2021-09-05 18:09:32:8430,0.7481,-1.44,0.4384,1.681
2021-09-05 18:09:32:8550,0.7215,-1.5143,0.4333,1.732
2021-09-05 18:09:32:8620,0.6966,-1.4945,0.4555,1.711
2021-09-05 18:09:32:8750,0.9214,-1.3861,0.5358,1.748
2021-09-05 18:09:32:8830,0.9715,-1.2266,0.5749,1.667
2021-09-05 18:09:32:8960,0.861,-0.8761,0.5021,1.327
2021-09-05 18:09:32:9030,0.7731,-0.6741,0.3662,1.089
2021-09-05 18:09:32:9140,0.8091,-0.5161,0.1613,0.973
2021-09-05 18:09:32:9250,0.816,-0.3754,0.2604,0.935
2021-09-05 18:09:32:9350,0.8741,-0.3278,0.6321,1.127
2021-09-05 18:09:32:9430,0.7434,-0.3307,0.9751,1.27
2021-09-05 18:09:32:9540,0.568,-0.3642,1.2711,1.439
2021-09-05 18:09:32:9640,0.3959,-0.4293,1.1834,1.32
2021-09-05 18:09:32:9740,0.0817,-0.2884,0.6397,0.706
2021-09-05 18:09:32:9820,-0.2191,-0.0963,0.1122,0.264
2021-09-05 18:09:32:9950,-0.5132,0.1967,-0.4265,0.696
2021-09-05 18:09:33:0030,-0.6551,0.3615,-0.4339,0.865
2021-09-05 18:09:33:0130,-0.6431,0.5295,-0.0122,0.833
2021-09-05 18:09:33:0220,-0.6533,0.5998,0.4383,0.989
2021-09-05 18:09:33:0350,-0.7241,0.5683,1.0437,1.392
2021-09-05 18:09:33:0420,-0.7286,0.5614,1.4435,1.712
2021-09-05 18:09:33:0540,-0.8125,0.5483,1.9655,2.196
2021-09-05 18:09:33:0630,-0.9122,0.6259,2.2116,2.473
2021-09-05 18:09:33:0750,-1.0999,0.7865,2.2286,2.607
2021-09-05 18:09:33:0830,-1.2918,0.9636,2.0941,2.642
2021-09-05 18:09:33:0960,-1.5789,1.2942,1.6607,2.632
2021-09-05 18:09:33:1040,-1.8162,1.4903,1.5189,2.798
2021-09-05 18:09:33:1190,-2.1317,1.7456,1.3167,3.054
2021-09-05 18:09:33:1220,-2.3073,1.9617,1.2467,3.275
2021-09-05 18:09:33:1340,-2.4685,2.0926,1.296,3.486
2021-09-05 18:09:33:1419,-2.6043,2.1949,1.3172,3.652
2021-09-05 18:09:33:1540,-2.6314,2.2915,1.2723,3.714
2021-09-05 18:09:33:1630,-2.503,2.4289,1.3156,3.728
2021-09-05 18:09:33:1750,-2.4482,2.6375,1.3108,3.83
2021-09-05 18:09:33:1830,-2.3258,2.6469,1.2264,3.731
2021-09-05 18:09:33:1950,-2.2453,2.7491,1.0919,3.714
2021-09-05 18:09:33:2030,-2.1627,2.7478,0.9929,3.635
2021-09-05 18:09:33:2170,-2.1358,2.6459,0.9035,3.518
2021-09-05 18:09:33:2230,-2.1164,2.63,0.9007,3.494
2021-09-05 18:09:33:2340,-2.1133,2.6573,0.8749,3.506
2021-09-05 18:09:33:2420,-2.0724,2.545,0.7552,3.368
2021-09-05 18:09:33:2540,-1.9662,2.412,0.6504,3.179
2021-09-05 18:09:33:2640,-1.866,2.3591,0.6261,3.072
2021-09-05 18:09:33:2740,-1.6863,2.2647,0.6224,2.891
2021-09-05 18:09:33:2829,-1.5384,2.1889,0.6201,2.746
2021-09-05 18:09:33:2940,-1.3484,2.0943,0.6139,2.565
2021-09-05 18:09:33:3020,-1.2636,1.9969,0.5652,2.43
2021-09-05 18:09:33:3140,-1.1514,1.8338,0.4683,2.215
2021-09-05 18:09:33:3230,-1.0895,1.6871,0.4885,2.067
2021-09-05 18:09:33:3350,-0.9535,1.4557,0.6732,1.866
2021-09-05 18:09:33:3439,-0.8619,1.2643,0.8024,1.728
2021-09-05 18:09:33:3530,-0.7138,0.9942,0.9198,1.531
2021-09-05 18:09:33:3630,-0.6384,0.736,1.0471,1.43
2021-09-05 18:09:33:3740,-0.465,0.5095,1.2036,1.387
2021-09-05 18:09:33:3830,-0.28,0.3428,1.277,1.352
2021-09-05 18:09:33:3960,-0.1455,0.1639,1.2769,1.296
2021-09-05 18:09:33:4020,-0.0443,0.0835,1.1097,1.114
2021-09-05 18:09:33:4140,0.017,0.1121,0.7612,0.77
2021-09-05 18:09:33:4230,0.0598,0.167,0.492,0.523
2021-09-05 18:09:33:4350,0.0661,0.2754,0.0913,0.298
2021-09-05 18:09:33:4430,-0.0598,0.2483,-0.1011,0.275
2021-09-05 18:09:33:4550,-0.375,0.1219,-0.5759,0.698
2021-09-05 18:09:33:4630,-0.3533,-0.1011,-0.8108,0.89
2021-09-05 18:09:33:4750,-0.4716,-0.3092,-0.9905,1.14
2021-09-05 18:09:33:4830,-0.4523,-0.5523,-0.9955,1.225
2021-09-05 18:09:33:4940,-0.3494,-0.8325,-0.8375,1.231
2021-09-05 18:09:33:5190,-0.2075,-1.0004,-0.6691,1.221
2021-09-05 18:09:33:5200,0.1046,-1.1982,-0.3888,1.264
2021-09-05 18:09:33:5240,0.3046,-1.3891,-0.2286,1.44
2021-09-05 18:09:33:5340,0.581,-1.7182,0.1388,1.819
2021-09-05 18:09:33:5430,0.7981,-1.9324,0.3318,2.117
2021-09-05 18:09:33:5560,0.8163,-2.2402,0.5036,2.437
2021-09-05 18:09:33:5620,0.6696,-2.4769,0.4551,2.606
2021-09-05 18:09:33:5750,0.4472,-2.7141,0.3232,2.77
2021-09-05 18:09:33:5830,0.315,-2.8064,0.0723,2.825
2021-09-05 18:09:33:5940,0.3167,-2.7052,-0.2571,2.736
2021-09-05 18:09:33:6190,0.3741,-2.406,-0.3829,2.465
2021-09-05 18:09:33:6200,0.4575,-2.1459,-0.5635,2.265
2021-09-05 18:09:33:6230,0.4805,-2.0556,-0.6838,2.219
2021-09-05 18:09:33:6340,0.4731,-2.0568,-0.6651,2.213
2021-09-05 18:09:33:6440,0.507,-2.0488,-0.5445,2.18
2021-09-05 18:09:33:6550,0.6217,-1.981,-0.504,2.137
2021-09-05 18:09:33:6650,0.6901,-1.8858,-0.5704,2.088
2021-09-05 18:09:33:6750,0.7521,-1.769,-0.6909,2.043
2021-09-05 18:09:33:6830,0.7124,-1.6779,-0.7595,1.975
2021-09-05 18:09:33:6949,0.6736,-1.4997,-0.7725,1.816
2021-09-05 18:09:33:7220,0.6698,-1.3459,-0.7302,1.671
2021-09-05 18:09:33:7230,0.6256,-1.1636,-0.7014,1.496
2021-09-05 18:09:33:7230,0.5862,-1.0184,-0.7183,1.377
2021-09-05 18:09:33:7350,0.5499,-0.9229,-0.5956,1.228
2021-09-05 18:09:33:7420,0.4267,-0.8443,-0.4766,1.059
2021-09-05 18:09:33:7550,0.2364,-0.9479,-0.4083,1.059
2021-09-05 18:09:33:7630,0.0595,-0.9658,-0.3923,1.044
2021-09-05 18:09:33:7740,-0.0525,-0.976,-0.3828,1.05
2021-09-05 18:09:33:7830,-0.1219,-0.9878,-0.5155,1.121
2021-09-05 18:09:33:7950,-0.1669,-1.0534,-0.7781,1.32
2021-09-05 18:09:33:8210,-0.1547,-1.1301,-1.0699,1.564
2021-09-05 18:09:33:8220,-0.1715,-1.1055,-1.3747,1.772
2021-09-05 18:09:33:8230,-0.1756,-1.0555,-1.4447,1.798
2021-09-05 18:09:33:8340,-0.1248,-1.0152,-1.5128,1.826
2021-09-05 18:09:33:8430,-0.1344,-0.9663,-1.431,1.732
2021-09-05 18:09:33:8550,-0.0858,-1.0144,-1.1425,1.53
2021-09-05 18:09:33:8640,0.002,-1.0568,-0.9079,1.393
2021-09-05 18:09:33:8750,0.1601,-1.0633,-0.6097,1.236
2021-09-05 18:09:33:8840,0.3514,-1.0046,-0.3526,1.121
2021-09-05 18:09:33:8940,0.5629,-0.901,-0.1914,1.08
2021-09-05 18:09:33:9110,0.7489,-0.77,-0.0539,1.076
2021-09-05 18:09:33:9140,0.815,-0.7037,-0.022,1.077
2021-09-05 18:09:33:9230,0.7326,-0.675,-0.067,0.998
2021-09-05 18:09:33:9360,0.5867,-0.7358,-0.1103,0.948
2021-09-05 18:09:33:9420,0.4606,-0.7346,-0.0943,0.872
2021-09-05 18:09:33:9540,0.289,-0.8181,-0.0964,0.873
2021-09-05 18:09:33:9630,0.2249,-0.8778,-0.1329,0.916
2021-09-05 18:09:33:9760,0.1101,-0.9333,-0.0937,0.944
2021-09-05 18:09:33:9830,-0.004,-0.8574,-0.1605,0.872
2021-09-05 18:09:33:9970,0.0355,-0.8924,-0.4835,1.016
2021-09-05 18:09:34:0180,0.1287,-0.825,-0.6246,1.043
2021-09-05 18:09:34:0190,0.4171,-0.6847,-0.5079,0.949
2021-09-05 18:09:34:0220,0.5684,-0.6373,-0.3014,0.906
2021-09-05 18:09:34:0350,0.5958,-0.5804,0.0352,0.833
2021-09-05 18:09:34:0440,0.5534,-0.6811,0.1495,0.89
2021-09-05 18:09:34:0560,0.5022,-0.933,0.402,1.133
2021-09-05 18:09:34:0650,0.5526,-1.1089,0.61,1.381
2021-09-05 18:09:34:0740,0.914,-1.5134,0.8766,1.973
2021-09-05 18:09:34:0820,1.0063,-1.6394,0.9517,2.146
2021-09-05 18:09:34:0970,1.1675,-1.7151,0.9205,2.27
2021-09-05 18:09:34:1180,1.2579,-1.7439,0.6875,2.258
2021-09-05 18:09:34:1180,1.1992,-1.4822,0.236,1.921
2021-09-05 18:09:34:1220,1.1213,-1.2569,0.0032,1.684
2021-09-05 18:09:34:1350,0.8348,-0.9154,-0.328,1.282
2021-09-05 18:09:34:1429,0.6421,-0.6747,-0.4252,1.024
2021-09-05 18:09:34:1550,0.3055,-0.1889,-0.5068,0.621
2021-09-05 18:09:34:1630,0.0599,0.1007,-0.4356,0.451
2021-09-05 18:09:34:1750,-0.3307,0.3159,-0.0149,0.458
2021-09-05 18:09:34:1830,-0.5845,0.4477,0.447,0.861
2021-09-05 18:09:34:1960,-0.892,0.7025,1.0319,1.534
2021-09-05 18:09:34:2190,-1.1861,0.9429,1.5124,2.141
2021-09-05 18:09:34:2200,-1.4234,1.198,1.836,2.614
2021-09-05 18:09:34:2220,-1.6545,1.3763,2.0523,2.974
2021-09-05 18:09:34:2350,-1.8875,1.6222,2.1103,3.263
2021-09-05 18:09:34:2430,-2.0383,1.8166,2.0577,3.419
2021-09-05 18:09:34:2560,-2.2184,2.0057,1.9545,3.573
2021-09-05 18:09:34:2630,-2.3272,2.1599,1.8011,3.65
2021-09-05 18:09:34:2750,-2.4654,2.2867,1.4372,3.657
2021-09-05 18:09:34:2829,-2.5817,2.3226,1.153,3.659
2021-09-05 18:09:34:2970,-2.628,2.4131,0.8139,3.66
2021-09-05 18:09:34:3180,-2.6149,2.452,0.7285,3.658
2021-09-05 18:09:34:3190,-2.5562,2.5156,0.7314,3.66
2021-09-05 18:09:34:3220,-2.503,2.466,0.8561,3.617
2021-09-05 18:09:34:3350,-2.4398,2.3841,1.0431,3.567
2021-09-05 18:09:34:3430,-2.3977,2.2321,1.1249,3.464
2021-09-05 18:09:34:3550,-2.2863,2.0931,1.2088,3.327
2021-09-05 18:09:34:3630,-2.1597,1.9848,1.2802,3.2
2021-09-05 18:09:34:3760,-1.9571,1.9522,1.437,3.115
2021-09-05 18:09:34:3830,-1.7368,1.9617,1.4013,2.971
2021-09-05 18:09:34:3960,-1.5388,1.9794,1.2813,2.816
2021-09-05 18:09:34:4170,-1.4075,1.9765,1.2328,2.722
2021-09-05 18:09:34:4180,-1.1577,1.9292,1.3089,2.603
2021-09-05 18:09:34:4220,-1.1172,1.8184,1.3845,2.544
2021-09-05 18:09:34:4330,-0.9991,1.7005,1.5055,2.481
2021-09-05 18:09:34:4430,-0.9445,1.4812,1.559,2.349
2021-09-05 18:09:34:4540,-0.9034,1.3692,1.4633,2.198
2021-09-05 18:09:34:4630,-0.8571,1.2157,1.3958,2.04
2021-09-05 18:09:34:4750,-0.8189,1.1667,1.1936,1.859
2021-09-05 18:09:34:4850,-0.7585,1.0929,1.0652,1.704
2021-09-05 18:09:34:4940,-0.6933,1.0011,0.7907,1.452
2021-09-05 18:09:34:5040,-0.6333,0.8694,0.5713,1.218
2021-09-05 18:09:34:5250,-0.5641,0.6934,0.2277,0.922
2021-09-05 18:09:34:5250,-0.4885,0.563,0.0544,0.747
2021-09-05 18:09:34:5350,-0.2992,0.508,-0.2937,0.659
2021-09-05 18:09:34:5440,-0.2656,0.4876,-0.5675,0.794
2021-09-05 18:09:34:5540,-0.2947,0.375,-0.875,0.997
2021-09-05 18:09:34:5629,-0.2991,0.2616,-0.924,1.006
2021-09-05 18:09:34:5740,-0.3879,0.136,-0.6852,0.799
2021-09-05 18:09:34:5820,-0.214,-0.0277,-0.3687,0.427
2021-09-05 18:09:34:5960,-0.3997,-0.1877,-0.1744,0.475
2021-09-05 18:09:34:6130,-0.086,-0.5221,0.0729,0.534
2021-09-05 18:09:34:6130,0.268,-0.8983,0.7465,1.198
2021-09-05 18:09:34:6220,0.515,-1.0952,1.1227,1.651
2021-09-05 18:09:34:6340,0.8729,-1.5086,1.3833,2.225
2021-09-05 18:09:34:6420,0.9154,-1.7054,1.2797,2.32
2021-09-05 18:09:34:6540,0.8169,-1.9021,0.5292,2.137
2021-09-05 18:09:34:6620,0.6821,-1.9822,-0.318,2.12
2021-09-05 18:09:34:6730,0.4635,-1.8122,-1.1819,2.213
2021-09-05 18:09:34:6840,0.1762,-1.6378,-1.9207,2.53
2021-09-05 18:09:34:6939,-0.2522,-1.5467,-2.8344,3.239
2021-09-05 18:09:34:7040,-0.4602,-1.3894,-3.1951,3.514
2021-09-05 18:09:34:7250,-0.4587,-1.1051,-2.7893,3.035
2021-09-05 18:09:34:7250,-0.302,-1.0626,-2.471,2.707
2021-09-05 18:09:34:7340,-0.1459,-0.9166,-1.5187,1.78
2021-09-05 18:09:34:7430,0.1126,-1.0632,-0.7267,1.293
2021-09-05 18:09:34:7540,0.3836,-1.2609,-0.1272,1.324
2021-09-05 18:09:34:7630,0.6674,-1.2133,0.183,1.397
2021-09-05 18:09:34:7750,0.9393,-1.1782,0.5405,1.601
2021-09-05 18:09:34:7830,1.0613,-1.2629,0.809,1.837
2021-09-05 18:09:34:7930,1.1219,-1.2399,1.0795,1.99
2021-09-05 18:09:34:8050,1.0098,-1.2139,1.2978,2.044
2021-09-05 18:09:34:8220,0.9699,-1.2644,1.1218,1.949
2021-09-05 18:09:34:8240,0.7968,-1.2177,0.8369,1.679
2021-09-05 18:09:34:8340,0.5364,-1.2042,0.2573,1.343
2021-09-05 18:09:34:8430,0.328,-1.1809,-0.111,1.231
2021-09-05 18:09:34:8540,0.1502,-1.1012,-0.5397,1.236
2021-09-05 18:09:34:8620,0.0106,-1.0348,-0.9344,1.394
2021-09-05 18:09:34:8760,0.0037,-0.9444,-1.4209,1.706
2021-09-05 18:09:34:8830,-0.0937,-0.8544,-1.676,1.883
2021-09-05 18:09:34:8960,-0.1614,-0.7979,-1.8965,2.064
2021-09-05 18:09:34:9060,-0.2133,-0.8179,-1.8796,2.061
2021-09-05 18:09:34:9140,-0.236,-0.9169,-1.7048,1.95
2021-09-05 18:09:34:9220,-0.2439,-0.987,-1.6022,1.898
2021-09-05 18:09:34:9360,-0.1922,-1.0172,-1.363,1.712
2021-09-05 18:09:34:9420,-0.1058,-1.0784,-1.2103,1.625
2021-09-05 18:09:34:9540,-0.0029,-1.1033,-0.9669,1.467
2021-09-05 18:09:34:9630,0.1304,-1.0762,-0.7001,1.291
2021-09-05 18:09:34:9740,0.3335,-1.0395,-0.4388,1.177
2021-09-05 18:09:34:9830,0.4201,-0.9868,-0.2737,1.107
2021-09-05 18:09:34:9950,0.5886,-0.996,-0.1447,1.166
2021-09-05 18:09:35:0030,0.6291,-1.0456,-0.0039,1.22
2021-09-05 18:09:35:0220,0.6139,-1.0633,0.084,1.231
2021-09-05 18:09:35:0240,0.6402,-1.0045,0.0761,1.194
2021-09-05 18:09:35:0330,0.6248,-0.9523,-0.025,1.139
2021-09-05 18:09:35:0429,0.5524,-1.0093,-0.1221,1.157
2021-09-05 18:09:35:0540,0.4889,-1.0708,-0.1589,1.188
2021-09-05 18:09:35:0630,0.3635,-1.1429,-0.2027,1.216
2021-09-05 18:09:35:0750,0.4411,-1.2345,-0.2424,1.333
2021-09-05 18:09:35:0830,0.4168,-1.1842,-0.2883,1.288
2021-09-05 18:09:35:0950,0.5104,-1.0123,-0.3759,1.194
2021-09-05 18:09:35:1019,0.6193,-0.9616,-0.3858,1.207
2021-09-05 18:09:35:1250,0.7425,-0.9143,-0.0682,1.18
2021-09-05 18:09:35:1260,0.7354,-0.914,0.1352,1.181
2021-09-05 18:09:35:1360,0.627,-0.988,0.3628,1.225
2021-09-05 18:09:35:1429,0.4876,-0.999,0.4247,1.19
2021-09-05 18:09:35:1530,0.3286,-0.998,0.4857,1.157
2021-09-05 18:09:35:1630,0.1906,-0.9993,0.3782,1.085
2021-09-05 18:09:35:1729,0.0631,-0.9971,0.2657,1.034
2021-09-05 18:09:35:1820,-0.0312,-0.8751,0.2613,0.914
2021-09-05 18:09:35:1950,-0.2648,-0.5932,0.3081,0.719
2021-09-05 18:09:35:2020,-0.399,-0.4068,0.3611,0.675
2021-09-05 18:09:35:2220,-0.7069,-0.1663,0.3413,0.802
2021-09-05 18:09:35:2220,-0.8404,0.0201,0.1792,0.859
2021-09-05 18:09:35:2350,-0.9923,0.3517,0.102,1.058
2021-09-05 18:09:35:2430,-1.0231,0.6105,0.1574,1.202
2021-09-05 18:09:35:2550,-0.8924,0.8109,0.4146,1.275
2021-09-05 18:09:35:2630,-0.8695,0.8731,0.7949,1.466
2021-09-05 18:09:35:2750,-0.7697,0.8229,1.4918,1.87
2021-09-05 18:09:35:2829,-0.7073,0.8168,2.0287,2.299
2021-09-05 18:09:35:2940,-0.6763,0.8427,2.5108,2.733
2021-09-05 18:09:35:3030,-0.8008,0.9447,2.8874,3.142
2021-09-05 18:09:35:3230,-0.8152,1.0746,3.0264,3.313
2021-09-05 18:09:35:3240,-0.9412,1.2539,2.8671,3.268
2021-09-05 18:09:35:3340,-1.1056,1.4458,2.4327,3.038
2021-09-05 18:09:35:3430,-1.3342,1.6275,1.8898,2.828
2021-09-05 18:09:35:3540,-1.5547,1.8081,1.1932,2.666
2021-09-05 18:09:35:3620,-1.7684,1.896,0.7769,2.707
2021-09-05 18:09:35:3760,-2.0628,1.9634,0.4267,2.88
